Plate ,Well,Group,Type   ,Sample     ,Wavelength,Abs  ,Meas. Time [s]
12, E09,Assay,Unknown,Un_0165 1/1,620,0.079,88.26
12, F09,Assay,Unknown,Un_0166 1/1,620,0.056,88.83
12, G09,Assay,Unknown,Un_0167 1/1,620,0.086,89.69
12, H09,Assay,Unknown,Un_0168 1/1,620,0.085,90.27
12, A10,Assay,Unknown,Un_0169 1/1,620,0.077,85.4
12, B10,Assay,Unknown,Un_0170 1/1,620,0.104,85.94
12, C10,Assay,Unknown,Un_0171 1/1,620,0.052,86.84
12, D10,Assay,Unknown,Un_0172 1/1,620,0.082,87.38
12, E10,Assay,Unknown,Un_0173 1/1,620,0.153,88.27
12, F10,Assay,Unknown,Un_0174 1/1,620,0.145,88.81
12, G10,Assay,Unknown,Un_0175 1/1,620,0.147,89.71
12, H10,Assay,Unknown,Un_0176 1/1,620,0.142,90.25
12, A11,Assay,Unknown,Un_0177 1/1,620,0.095,85.42
12, B11,Assay,Unknown,Un_0178 1/1,620,0.083,85.92
12, C11,Assay,Unknown,Un_0179 1/1,620,0.077,86.86
12, D11,Assay,Unknown,Un_0180 1/1,620,0.137,87.36
12, E11,Assay,Unknown,Un_0181 1/1,620,0.035,88.29
12, F11,Assay,Unknown,Un_0182 1/1,620,0.035,88.79
12, G11,Assay,Unknown,Un_0183 1/1,620,0.035,89.73
12, H11,Assay,Unknown,Un_0184 1/1,620,0.035,90.23
12, A12,Assay,Unknown,Un_0185 1/1,620,0.107,85.44
12, B12,Assay,Unknown,Un_0186 1/1,620,0.126,85.9
12, C12,Assay,Unknown,Un_0187 1/1,620,0.078,86.88
12, D12,Assay,Unknown,Un_0188 1/1,620,0.096,87.34
12, E12,Assay,Unknown,Un_0189 1/1,620,0.035,88.31
12, F12,Assay,Unknown,Un_0190 1/1,620,0.035,88.77
12, G12,Assay,Unknown,Un_0191 1/1,620,0.034,89.75
12, H12,Assay,Unknown,Un_0192 1/1,620,0.035,90.21
30, A01,Assay,Unknown,Un_0193 1/1,620,0.19,183.36
30, B01,Assay,Unknown,Un_0194 1/1,620,0.468,184.24
30, C01,Assay,Unknown,Un_0195 1/1,620,0.159,184.8
30, D01,Assay,Unknown,Un_0196 1/1,620,0.228,185.68
30, E01,Assay,Unknown,Un_0197 1/1,620,0.165,186.23
30, F01,Assay,Unknown,Un_0198 1/1,620,0.154,187.12
30, G01,Assay,Unknown,Un_0199 1/1,620,0.153,187.67
30, H01,Assay,Unknown,Un_0200 1/1,620,0.179,188.55
30, A02,Assay,Unknown,Un_0201 1/1,620,0.133,183.38
30, B02,Assay,Unknown,Un_0202 1/1,620,0.142,184.22
30, C02,Assay,Unknown,Un_0203 1/1,620,0.134,184.82
30, D02,Assay,Unknown,Un_0204 1/1,620,0.14,185.66
30, E02,Assay,Unknown,Un_0205 1/1,620,0.149,186.25
