Plate,Well,Group,Type,Sample,Wavelength [Ex],Abs,Time [s]
37,A08,Group 1,Unknown,Un0242,620,0.1637,705.62
37,A09,Group 1,Unknown,Un0249,620,0.1242,705.64
37,A10,Group 1,Unknown,Un0256,620,0.1306,705.66
37,A11,Group 1,Unknown,Un0263,620,0.154,705.68
37,A12,Group 1,Unknown,Un0270,620,0.1773,705.7
37,B12,Group 1,Unknown,Un0271,620,0.153,706.16
37,B11,Group 1,Unknown,Un0264,620,0.1415,706.18
37,B10,Group 1,Unknown,Un0257,620,0.1423,706.2
37,B09,Group 1,Unknown,Un0250,620,0.1281,706.22
37,B08,Group 1,Unknown,Un0243,620,0.1322,706.24
37,B07,Group 1,Unknown,Un0236,620,0.0993,706.26
37,B06,Group 1,Unknown,Un0229,620,0.1342,706.28
37,B05,Group 1,Unknown,Un0222,620,0.1353,706.29
37,B04,Group 1,Unknown,Un0215,620,0.123,706.31
37,B03,Group 1,Unknown,Un0208,620,0.0973,706.33
37,B02,Group 1,Unknown,Un0201,620,0.1295,706.35
37,B01,Group 1,Unknown,Un0194,620,0.0964,706.37
37,C01,Group 1,Unknown,Un0195,620,0.1348,706.92
37,C02,Group 1,Unknown,Un0202,620,0.1405,706.94
37,C03,Group 1,Unknown,Un0209,620,0.086,706.96
37,C04,Group 1,Unknown,Un0216,620,0.1465,706.98
37,C05,Group 1,Unknown,Un0223,620,0.1291,707
37,C06,Group 1,Unknown,Un0230,620,0.1299,707.02
37,C07,Group 1,Unknown,Un0237,620,0.117,707.04
37,C08,Group 1,Unknown,Un0244,620,0.1176,707.06
37,C09,Group 1,Unknown,Un0251,620,0.1254,707.08
37,C10,Group 1,Unknown,Un0258,620,0.1209,707.1
37,C11,Group 1,Unknown,Un0265,620,0.1244,707.12
37,C12,Group 1,Unknown,Un0272,620,0.1301,707.13
37,D12,Group 1,Unknown,Un0273,620,0.1281,707.6
37,D11,Group 1,Unknown,Un0266,620,0.1223,707.62
37,D10,Group 1,Unknown,Un0259,620,0.1173,707.63
37,D09,Group 1,Unknown,Un0252,620,0.1157,707.65
37,D08,Group 1,Unknown,Un0245,620,0.132,707.67
37,D07,Group 1,Unknown,Un0238,620,1.1432,707.69
37,D06,Group 1,Unknown,Un0231,620,0.0622,707.71
37,D05,Group 1,Unknown,Un0224,620,0.1177,707.73
37,D04,Group 1,Unknown,Un0217,620,0.1284,707.75
37,D03,Group 1,Unknown,Un0210,620,0.0897,707.77
37,D02,Group 1,Unknown,Un0203,620,0.1324,707.79
37,D01,Group 1,Unknown,Un0196,620,0.1886,707.81
37,E01,Group 1,Unknown,Un0197,620,0.1445,708.36
37,E02,Group 1,Unknown,Un0204,620,0.1917,708.38
37,E03,Group 1,Unknown,Un0211,620,0.0431,708.4
37,E04,Group 1,Unknown,Un0218,620,0.1469,708.42
37,E05,Group 1,Unknown,Un0225,620,0.1653,708.44
37,E06,Group 1,Unknown,Un0232,620,0.1187,708.46
37,E07,Group 1,Unknown,Un0239,620,0.0351,708.48
37,E08,Group 1,Unknown,Un0246,620,0.155,708.49
37,E09,Group 1,Unknown,Un0253,620,0.1502,708.51
37,E10,Group 1,Unknown,Un0260,620,0.1857,708.53
37,E11,Group 1,Unknown,Un0267,620,0.1345,708.55
37,E12,Group 1,Unknown,Un0274,620,0.0382,708.57
37,F12,Group 1,Unknown,Un0275,620,0.0362,709.03
37,F11,Group 1,Unknown,Un0268,620,0.1304,709.05
37,F10,Group 1,Unknown,Un0261,620,0.1829,709.07
37,F09,Group 1,Unknown,Un0254,620,0.1359,709.09
37,F08,Group 1,Unknown,Un0247,620,0.1557,709.11
37,F07,Group 1,Unknown,Un0240,620,0.0339,709.13
37,F06,Group 1,Unknown,Un0233,620,0.1101,709.15
37,F05,Group 1,Unknown,Un0226,620,0.1509,709.17
37,F04,Group 1,Unknown,Un0219,620,0.1121,709.19
37,F03,Group 1,Unknown,Un0212,620,0.0379,709.2
37,F02,Group 1,Unknown,Un0205,620,0.143,709.22
37,F01,Group 1,Unknown,Un0198,620,0.1323,709.24
37,G01,Group 1,Unknown,Un0199,620,0.1401,709.8
37,G02,Group 1,Unknown,Un0206,620,0.1513,709.81
37,G03,Group 1,Unknown,Un0213,620,0.0384,709.83
37,G04,Group 1,Unknown,Un0220,620,0.1155,709.85
37,G05,Group 1,Unknown,Un0227,620,0.1547,709.87
37,G06,Group 1,Unknown,Un0234,620,0.1244,709.89
37,G07,Group 1,Unknown,Un0241,620,0.0348,709.91
37,G08,Group 1,Unknown,Un0248,620,0.1535,709.93
37,G09,Group 1,Unknown,Un0255,620,0.1417,709.95
37,G10,Group 1,Unknown,Un0262,620,0.1696,709.97
