"","ID","rmax","topt","a","rssq","well","carbon","temp_origin","fermenter"
"62","B5_galactose_42_Fermenter",0.264929548342925,36.4848502013469,17.1623819933622,0.00253000120423209,"B5","galactose","42","Fermenter"
"63","B5_glucose_42_Fermenter",0.320500518908787,38.092857418503,15.9157971118252,0.00434525889664145,"B5","glucose","42","Fermenter"
"64","B5_ribose_42_Fermenter",0.24384084932665,37,11.1885663326916,0.000379244862240409,"B5","ribose","42","Fermenter"
"65","B6_fructose_37.7_Fermenter",0.284681757027477,35.8515778756486,13.1587217277873,0.00221484266123023,"B6","fructose","37.7","Fermenter"
"66","B6_galactose_37.7_Fermenter",0.179318737150685,30.0991441682175,11.584263865596,0.000933254854568012,"B6","galactose","37.7","Fermenter"
"67","B6_glucose_37.7_Fermenter",0.289314577353777,32.8590685355876,11.8881293283347,0.00940486211764322,"B6","glucose","37.7","Fermenter"
"68","B6_ribose_37.7_Fermenter",0.236707170124189,37,11.082804282414,0.000179129226545384,"B6","ribose","37.7","Fermenter"
"69","B7_fructose_37.7_Fermenter",0.20639833490192,28.3774736189721,12.222602956855,0.000664872048033827,"B7","fructose","37.7","Fermenter"
"70","B7_galactose_37.7_Fermenter",0.182532027769708,26.4057964475852,11.9645541219254,0.000324029134540611,"B7","galactose","37.7","Fermenter"
"71","B7_glucose_37.7_Fermenter",0.255484003666748,31.6097679819866,13.0144623260962,0.013205425313418,"B7","glucose","37.7","Fermenter"
"72","B7_ribose_37.7_Fermenter",0.144757516688965,27.8094974323087,12.0231670048182,0.00265010553678215,"B7","ribose","37.7","Fermenter"
"73","B8_fructose_30_Fermenter",0.155005584985175,25.8249048666669,11.8526595319752,0.00807313016205226,"B8","fructose","30","Fermenter"
"74","B8_galactose_30_Fermenter",0.123223847936824,28.2435519393186,9.4471626644738,0.00196373166110654,"B8","galactose","30","Fermenter"
"75","B8_glucose_30_Fermenter",0.219894096586843,37.2074648754257,18.0188574113885,0.00184831081731911,"B8","glucose","30","Fermenter"
"76","B8_ribose_30_Fermenter",0.220309351413045,37,11.9170568346142,0.00549954224219353,"B8","ribose","30","Fermenter"
"77","B9_fructose_30_Fermenter",0.222836117060859,31.7018140329811,14.0232483668109,0.00340912553730657,"B9","fructose","30","Fermenter"
"78","B9_galactose_30_Fermenter",0.266876305220388,36.5823310109737,18.1601889859149,0.010595847007153,"B9","galactose","30","Fermenter"
"79","B9_glucose_30_Fermenter",0.244518319062046,34.3038902380432,15.1613050428508,0.00410628512281014,"B9","glucose","30","Fermenter"
"80","B9_ribose_30_Fermenter",0.213142714618355,37,13.9720093820476,0.00123415139779074,"B9","ribose","30","Fermenter"
"81","C2_fructose_12.5_Respirator",0.16737021624978,35.4258581617624,15.8386961435424,0.00897868679377886,"C2","fructose","12.5","Respirator"
"82","C2_galactose_12.5_Respirator",0.204777335184701,19.9123172499795,3.78275681817681,0.000898933842918328,"C2","galactose","12.5","Respirator"
"83","C2_glucose_12.5_Respirator",0.235272447356681,33.7686547782165,10.9407766266925,0.00950917369709554,"C2","glucose","12.5","Respirator"
"84","C2_ribose_12.5_Respirator",0.108696002610869,21.7278616264426,4.48182436156945,0.0011404793253087,"C2","ribose","12.5","Respirator"
"85","C3_fructose_12.5_Respirator",0.161251818417507,26.2520221654385,3.89162469751718,0.00026209099711867,"C3","fructose","12.5","Respirator"
"86","C3_galactose_12.5_Respirator",0.126727395430205,23.9216368751142,7.66470565310557,0.00222158989210119,"C3","galactose","12.5","Respirator"
"87","C3_glucose_12.5_Respirator",0.181778910150907,21.7944176772047,11.3732068603659,0.0114115034942283,"C3","glucose","12.5","Respirator"
"88","C3_ribose_12.5_Respirator",0.113151212606953,25.7771734848326,3.57615334649415,3.46047086312957e-05,"C3","ribose","12.5","Respirator"
"89","C4_fructose_42_Respirator",0.151654149558678,42,11.3419087621444,0.00132477742149486,"C4","fructose","42","Respirator"
"90","C4_galactose_42_Respirator",0.0570272136915503,33.5850885914324,9.24925231188124,0.000103691211700659,"C4","galactose","42","Respirator"
"91","C4_glucose_42_Respirator",0.152126370211491,33.7777224590334,8.80415100064887,4.0646477311974e-05,"C4","glucose","42","Respirator"
"92","C4_ribose_42_Respirator",0.0917929963454843,29.7618838007622,6.96258152282843,1.39821032879301e-05,"C4","ribose","42","Respirator"
"93","C5_fructose_42_Respirator",0.165374204448415,42,11.1004274101399,0.00433054814431705,"C5","fructose","42","Respirator"
"94","C5_galactose_42_Respirator",0.0924554834701921,27.6966518481992,13.4897247937292,0.0108101891590306,"C5","galactose","42","Respirator"
"95","C5_glucose_42_Respirator",0.165586917290754,31.9769157864377,12.7796722005618,0.00298927694504743,"C5","glucose","42","Respirator"
"96","C5_ribose_42_Respirator",0.0953148628541334,32.5190447677998,5.58106856402655,4.54205827400239e-09,"C5","ribose","42","Respirator"
"97","C6_fructose_37.7_Respirator",0.14533839861292,42,10.9217026418302,0.00496041958729759,"C6","fructose","37.7","Respirator"
"98","C6_galactose_37.7_Respirator",0.0540046858489056,28.6686452731857,15.6159135295735,0.00230663312761189,"C6","galactose","37.7","Respirator"
"99","C6_glucose_37.7_Respirator",0.137421918746066,33.4869052958071,11.9303224871149,0.0117265477098956,"C6","glucose","37.7","Respirator"
"100","C6_ribose_37.7_Respirator",0.0635917046976785,32.8904496931033,11.3566861095723,7.5195674930715e-05,"C6","ribose","37.7","Respirator"
"101","C7_fructose_37.7_Respirator",0.186227235134953,36.8315657408759,4.10276182850632,0.00380934644911534,"C7","fructose","37.7","Respirator"
"102","C7_galactose_37.7_Respirator",0.0781825901119958,21.3822676843239,5.70300440404032,0.000952673372520566,"C7","galactose","37.7","Respirator"
"103","C7_glucose_37.7_Respirator",0.106501723841491,28.8435838184711,12.1905878965148,0.00114726627549055,"C7","glucose","37.7","Respirator"
"104","C7_ribose_37.7_Respirator",0.0733108138605068,29.9173052860687,8.37364978861707,8.61388372126573e-05,"C7","ribose","37.7","Respirator"
"105","C8_fructose_30_Respirator",0.17906096153339,42,15.7209797735077,0.00887268791290773,"C8","fructose","30","Respirator"
"106","C8_galactose_30_Respirator",0.193983802002116,18.9085589752532,5.98236391166233,0.00400268455998029,"C8","galactose","30","Respirator"
"107","C8_glucose_30_Respirator",0.15282293027536,31.5180125044947,19.1568667367739,0.00507740950729952,"C8","glucose","30","Respirator"
"108","C8_ribose_30_Respirator",0.147625581733299,37,9.41707742033125,0.00417354095614946,"C8","ribose","30","Respirator"
"109","C9_fructose_30_Fermenter",0.192975193430718,26.1456373592056,10.7856451862336,0.00769371480813033,"C9","fructose","30","Fermenter"
"110","C9_galactose_30_Fermenter",0.191989622498474,27.0866341852469,12.7293174858229,0.000422577566535459,"C9","galactose","30","Fermenter"
"111","C9_glucose_30_Fermenter",0.185022121008785,29.3026155440909,17.3482998424717,0.00223991707515763,"C9","glucose","30","Fermenter"
"112","C9_ribose_30_Fermenter",0.221767547977844,37,15.6958248524115,0.000875940204831786,"C9","ribose","30","Fermenter"
"113","D2_fructose_12.5_Fermenter",0.131422478423876,19.3234354055581,13.5414931862871,0.00184361171492893,"D2","fructose","12.5","Fermenter"
"114","D2_galactose_12.5_Fermenter",0.107295103800825,20.6120181256318,11.0244509745709,0.000445865448411342,"D2","galactose","12.5","Fermenter"
"115","D2_glucose_12.5_Fermenter",0.156326001360873,22.6711607238897,9.06671844001245,0.00531879521713704,"D2","glucose","12.5","Fermenter"
"116","D2_ribose_12.5_Fermenter",0.117453494719551,37,250,0.00563003506979618,"D2","ribose","12.5","Fermenter"
"117","D3_fructose_12.5_Respirator",0.173702150454104,28.5770297239145,5.56258471222431,0.000313059719985492,"D3","fructose","12.5","Respirator"
"118","D3_galactose_12.5_Respirator",0.0418848949606008,28.2805050187385,10.2210150842793,0.0012150343696577,"D3","galactose","12.5","Respirator"
