"","well","tmp","carbon_source","carbon","temperature","Fermenter","mean_r","mean_lag"
"182","A9",30,"fructose","Gal",30,"Fermenter",0.203093615906822,1.14781305621292
"183","A9",30,"ribose","Gal",30,"Fermenter",0.193987200771209,0.121678102125288
"184","A9",37,"glucose","Gal",30,"Fermenter",0.317742870930123,2.90616586866906
"185","A9",37,"galactose","Gal",30,"Fermenter",0.154040762957341,5.79622097294102
"186","A9",37,"fructose","Gal",30,"Fermenter",0.170906467648124,6.699151857317
"187","A9",37,"ribose","Gal",30,"Fermenter",0.121116248821688,19.7872900737693
"188","A9",42,"glucose","Gal",30,"Fermenter",0.0201153939547719,15.1274365453099
"189","A9",42,"galactose","Gal",30,"Fermenter",0.000879998976065424,20.6768957338651
"190","A9",42,"fructose","Gal",30,"Fermenter",0.321857585521294,15.7655866317057
"191","B10",12,"glucose","Glu",22,"Fermenter",0.0967324735142973,9.78231229888463
"192","B10",12,"galactose","Glu",22,"Fermenter",0.0931531470440078,17.26367319307
"193","B10",12,"fructose","Glu",22,"Fermenter",0.156070487672947,35.7796544037117
"194","B10",12,"ribose","Glu",22,"Fermenter",0.156730254656009,45.9844244713563
"195","B10",22,"glucose","Glu",22,"Fermenter",0.173252291615727,3.293577894324
"196","B10",22,"galactose","Glu",22,"Fermenter",0.144888684494904,5.27155567977711
"197","B10",22,"fructose","Glu",22,"Fermenter",0.145463516047922,3.99550646945207
"198","B10",22,"ribose","Glu",22,"Fermenter",0.0971031040747812,-7948.1744210173
"199","B10",30,"glucose","Glu",22,"Fermenter",0.230154772677791,0.129858609452972
"200","B10",30,"galactose","Glu",22,"Fermenter",0.195387838974919,0.0909638792905841
"201","B10",30,"fructose","Glu",22,"Fermenter",0.188982081585228,3.22236603301913
"202","B10",30,"ribose","Glu",22,"Fermenter",0.195381652458795,3.7638954963445
"203","B10",37,"glucose","Glu",22,"Fermenter",0.320736166714466,2.40580305740747
"204","B10",37,"galactose","Glu",22,"Fermenter",0.217768570232404,4.04156265160865
"205","B10",37,"fructose","Glu",22,"Fermenter",0.248573909021218,2.3923273313454
"206","B10",37,"ribose","Glu",22,"Fermenter",0.241054376433613,4.20194904534424
"207","B10",42,"glucose","Glu",22,"Fermenter",0.00905368664761006,3.70361531267018
"208","B10",42,"galactose","Glu",22,"Fermenter",-0.000254264503279917,589.572281287572
"209","B10",42,"fructose","Glu",22,"Fermenter",0.100882158171829,26.2857655028872
"210","B11",12,"glucose","Gal",22,"Fermenter",0.107668545733595,11.2505602612759
"211","B11",12,"galactose","Gal",22,"Fermenter",0.100192137232994,19.7686848264018
"212","B11",12,"fructose","Gal",22,"Fermenter",0.153115522676875,36.1675420070754
"213","B11",12,"ribose","Gal",22,"Fermenter",0.143779796672817,46.7238022499916
"214","B11",22,"glucose","Gal",22,"Fermenter",0.199457745523124,4.441248212419
"215","B11",22,"galactose","Gal",22,"Fermenter",0.199242646749182,4.84051709342889
"216","B11",22,"fructose","Gal",22,"Fermenter",0.169671142050081,3.82573203466132
"217","B11",22,"ribose","Gal",22,"Fermenter",0.111568097804107,3.4304184753805
"218","B11",30,"glucose","Gal",22,"Fermenter",0.225230498450919,1.81241281115523
"219","B11",30,"galactose","Gal",22,"Fermenter",0.188558954209031,0.104464925044738
"220","B11",30,"fructose","Gal",22,"Fermenter",0.202847912686728,1.66927560715608
"221","B11",30,"ribose","Gal",22,"Fermenter",0.196848445270265,3.45919230630379
"222","B11",37,"glucose","Gal",22,"Fermenter",0.329432450647076,2.86927608399793
"223","B11",37,"galactose","Gal",22,"Fermenter",0.211311474815257,2.93681010709901
"224","B11",37,"fructose","Gal",22,"Fermenter",0.150670793912065,1.8070389228126
"225","B11",37,"ribose","Gal",22,"Fermenter",0.177215353157786,4.4069990789428
"226","B11",42,"glucose","Gal",22,"Fermenter",0.0298526079570653,12.5877916833373
"227","B11",42,"galactose","Gal",22,"Fermenter",0.107893080240899,26.5748696878691
"228","B11",42,"fructose","Gal",22,"Fermenter",0.345442385839294,21.9990203341481
"229","B2",12,"glucose","Glu",12.5,"Fermenter",0.121315921127611,6.30683692309615
"230","B2",12,"galactose","Glu",12.5,"Fermenter",0.100126312209517,5.35248729381179
"231","B2",12,"fructose","Glu",12.5,"Fermenter",0.135919952554527,11.4343847965608
"232","B2",12,"ribose","Glu",12.5,"Fermenter",0.111281684204131,18.551709224608
"233","B2",22,"glucose","Glu",12.5,"Fermenter",0.126043360941885,2.14129532067444
"234","B2",22,"galactose","Glu",12.5,"Fermenter",0.167577227156907,3.61896147567709
"235","B2",22,"fructose","Glu",12.5,"Fermenter",0.175401914321466,0.134247376838575
"236","B2",22,"ribose","Glu",12.5,"Fermenter",0.110163103380184,-570697.882607255
"237","B2",30,"glucose","Glu",12.5,"Fermenter",0.186808361358738,1.87914824825266
"238","B2",30,"galactose","Glu",12.5,"Fermenter",0.17379945741484,3.48567365707625
"239","B2",30,"fructose","Glu",12.5,"Fermenter",0.208056243597109,0.116111869094591
"240","B2",30,"ribose","Glu",12.5,"Fermenter",0.200856134193265,6.05530198201634
"241","B2",37,"glucose","Glu",12.5,"Fermenter",0.0380446532025607,8.67230592104688
"242","B2",37,"galactose","Glu",12.5,"Fermenter",0.00160318302351883,2.78225743880357
"243","B2",37,"fructose","Glu",12.5,"Fermenter",0.133478959843819,19.8359877949174
"244","B2",37,"ribose","Glu",12.5,"Fermenter",0.0232548566470162,4.74035474802334
"245","B2",42,"glucose","Glu",12.5,"Fermenter",-2.10357051547088e-22,-117984305.915007
"246","B2",42,"galactose","Glu",12.5,"Fermenter",0.00193041370487645,18.6354109141931
"247","B2",42,"fructose","Glu",12.5,"Fermenter",0.00216596959083484,-0.123740991209445
"248","B3",12,"glucose","Gal",12.5,"Fermenter",0.112144956686996,7.03435359832378
"249","B3",12,"galactose","Gal",12.5,"Fermenter",0.0981376992640813,8.10308353447251
"250","B3",12,"fructose","Gal",12.5,"Fermenter",0.126643551329095,9.81853215847813
"251","B3",12,"ribose","Gal",12.5,"Fermenter",0.0947777111246437,16.7214420695687
"252","B3",22,"glucose","Gal",12.5,"Fermenter",0.197967803124078,1.49860522035081
"253","B3",22,"galactose","Gal",12.5,"Fermenter",0.16873918892209,3.8842921114904
"254","B3",22,"fructose","Gal",12.5,"Fermenter",0.171177513942548,1.17206957793687
"255","B3",22,"ribose","Gal",12.5,"Fermenter",0.113422218764879,-697.745893545094
"256","B3",30,"glucose","Gal",12.5,"Fermenter",0.21404153562643,4.22787233061555
"257","B3",30,"galactose","Gal",12.5,"Fermenter",0.170543374578668,4.13964555975418
"258","B3",30,"fructose","Gal",12.5,"Fermenter",0.179810623990018,3.87178279876275
"259","B3",30,"ribose","Gal",12.5,"Fermenter",0.154176217796429,9.03762693601229
"260","B3",37,"glucose","Gal",12.5,"Fermenter",0.100937845209429,-2.11790107012756
"261","B3",37,"galactose","Gal",12.5,"Fermenter",0.0011568102860816,0.0251038080281815
"262","B3",37,"fructose","Gal",12.5,"Fermenter",0.00111602190709393,-0.190777004848519
"263","B3",37,"ribose","Gal",12.5,"Fermenter",0.00115505708060331,-18.4176781987621
"264","B3",42,"glucose","Gal",12.5,"Fermenter",0.000536669606840924,-0.349788979631961
"265","B3",42,"galactose","Gal",12.5,"Fermenter",0.00102438324091898,19.7944479928365
"266","B3",42,"fructose","Gal",12.5,"Fermenter",0.000703620552576108,0.0553200595289481
"267","B4",12,"glucose","Glu",42,"Fermenter",0.100033968319829,6.77322889429804
"268","B4",12,"galactose","Glu",42,"Fermenter",0.0489174867342476,17.4779323449779
"269","B4",12,"fructose","Glu",42,"Fermenter",0.0732631105010528,22.1833915033272
"270","B4",12,"ribose","Glu",42,"Fermenter",0.0401593854976997,42.3834834961523
"271","B4",22,"glucose","Glu",42,"Fermenter",0.202954469529541,2.64770850954668
"272","B4",22,"galactose","Glu",42,"Fermenter",0.212994900568844,5.30262072367255
"273","B4",22,"fructose","Glu",42,"Fermenter",0.18522566934011,4.73134269961151
"274","B4",22,"ribose","Glu",42,"Fermenter",0.104269378999428,197856.080316106
"275","B4",30,"glucose","Glu",42,"Fermenter",0.271751029780256,3.28538759019501
"276","B4",30,"galactose","Glu",42,"Fermenter",0.190836724600632,2.46435318987844
"277","B4",30,"fructose","Glu",42,"Fermenter",0.238881037163373,3.39024256256169
"278","B4",30,"ribose","Glu",42,"Fermenter",0.201809408180697,6.29105441195147
"279","B4",37,"glucose","Glu",42,"Fermenter",0.335465006271321,0.287114352924674
"280","B4",37,"galactose","Glu",42,"Fermenter",0.165186268266472,2.40489110479622
"281","B4",37,"fructose","Glu",42,"Fermenter",0.483922141628765,3.7354122937152
"282","B4",37,"ribose","Glu",42,"Fermenter",0.271031675311089,3.22260196737291
