"","r","t.r","lag","maxOD.fit","col","row","tmp"
"117",0.593265400797354,2.15172413781,1.45671822874602,0.349094187404186,5,4,30
"118",0.720768999273608,2.15172413781,1.5584488667047,0.46474778418441,1,3,30
"119",0.617464845244718,2.15172413781,1.633329172634,0.396336974468584,6,2,30
"120",0.424384062788083,5.95862068932,4.22351301146358,0.227225525090631,3,2,30
"121",0.720071155145134,2.15172413781,1.76117947310777,0.408267881609704,6,1,30
"122",0.682606428724356,2.15172413781,1.79641313487619,0.331206536015474,5,1,30
"123",0.972601720238345,2.31724137918,2.13642971547669,0.438435543573329,11,2,30
"124",0.853302441457867,2.48275862055,2.53011889040593,0.452989514055752,1,2,30
"125",0.275613863636711,5.79310344795,4.01420508596549,0.183033784050022,7,3,30
"126",0.119745835799542,5.95862068932,3.61062361526555,0.0477736078412315,2,3,30
"127",0.346774069984579,6.12413793069,4.39856853822889,0.319097747614389,4,3,30
"128",0.295352282522218,13.07586206823,10.3532003502345,0.131871629088171,7,4,30
"129",0.379640368419926,5.79310344795,4.3862663816101,0.274912509446859,3,4,30
"130",1.19972187570114,3.3103448274,2.98740280465002,0.44018615513224,11,1,30
"131",0.613360966595275,5.95862068932,5.03854288395608,0.388515182727235,9,3,30
"132",0.339087945987867,9.59999999946,7.12931911071086,0.259437959792397,4,4,30
"133",0.657542054640429,6.12413793069,5.22370031484704,0.383960141465039,9,1,30
"134",0.152424436932486,4.13793103425,4.09916847400546,0.0259830159719819,2,2,30
"135",0.444933347264757,4.13793103425,4.02151110996718,0.0631043991491724,8,3,30
"136",0.381241002240279,4.63448275836,4.63365469140918,0.0722755760967816,8,1,30
"137",0.463121986817303,10.26206896494,8.54521046506278,0.200509592403428,4,2,30
"138",0.0666544148464977,5.29655172384,5.32877896101352,0.0151457794177104,2,1,30
"139",0.720882040898016,8.2758620685,7.50990477636967,0.231082288536348,4,1,30
"140",0.4028353689268,13.2413793096,11.2383467355362,0.155291737341888,7,1,30
"141",0.402940939748498,5.95862068932,5.89498936613476,0.165958232257195,7,2,30
"142",0.665589797939174,5.95862068932,5.97663762077828,0.243506808906723,10,4,30
"143",0.656054821375216,6.45517241343,6.8961962378014,0.22631606562695,10,2,30
"144",0.6440524191701,11.42068965453,10.0252757136842,0.233927107742425,10,1,30
